"Inglés","Español"
"Low Carb Summer Vegetable Pasta","Pasta de Verduras de Verano Baja en Carbohidratos"
"Low Carb Veggie Fried Rice Bowl","Tazón de Arroz Frito con Verduras Baja en Carbohidratos"
"Luscious Avocado-Strawberry Salad With Toasted Pine Nuts","Ensalada Deliciosa de Aguacate y Fresa con Piñones Tostados"
"Mandarin, Greens, and Protein Bowl","Tazón de Mandarina, Verduras y Proteína"
"Mango and Tomato Salsa","Salsa de Mango y Tomate"
"Maple-Thyme Roasted Brussel Sprouts","Coles de Bruselas Asadas con Maple y Tomillo"
"Mediterranean Roll-Ups","Roll-Ups Mediterráneos"
"Mexican-Style Stuffed Bell Peppers","Pimientos Rellenos al Estilo Mexicano"
"Mexican Black Bean Soup","Sopa Mexicana de Frijoles Negros"
"Mexican Skillet Egg Casserole","Cazuela de Huevo Mexicana en Sartén"
"Mighty Greens Gazpacho","Gazpacho de Verduras Poderosas"
"Mixed Greens and Cranberry Salad","Ensalada de Verduras Mixtas y Arándanos"
"Mixed Greens with Cranberries, Bacon and Walnuts","Verduras Mixtas con Arándanos, Tocino y Nueces"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Mozzarella, Tomato and Chickpea Salad","Ensalada de Mozzarella, Tomate y Garbanzo"
"New Ants on a Log","Nuevas Hormigas en un Tronco"
"Nicoise-Inspired Salad","Ensalada Inspirada en Nicoise"
"No Noodle Zucchini Lasagna","Lasaña de Calabacín sin Fideos"
"One-Bite Spaghetti Squash Cups","Tazas de Calabaza Espagueti de Un Bocado"
"One Skillet Sweet Orange Chicken","Pollo de Naranja Dulce en una Sartén"
"Open-Faced Grilled Pepper-Goat Cheese Sandwiches","Sándwiches Abiertos de Pimiento a la Parrilla y Queso de Cabra"
"Open Face Egg & Spinach Salad Sandwich","Sándwich Abierto de Ensalada de Huevo y Espinaca"
"Orange, Asparagus, and Avocado Salad","Ensalada de Naranja, Espárragos y Aguacate"
"Orange and Walnut Salad","Ensalada de Naranja y Nuez"
"Pad Thai Spaghetti Squash","Calabaza Espagueti Pad Thai"
"Papardelle Vegetable \"Pasta\" Carbonara","Papardelle Vegetal \"Pasta\" Carbonara"
"Parmesan Tofu with Butternut Squash Noodles","Tofu con Parmesano y Tallarines de Calabaza"
"Penne with Broccoli Rabe, Prosciutto, and Garlic","Penne con Broccoli Rabe, Prosciutto y Ajo"
"Peppercorn Pistachio Caesar-Style Salad with Chicken","Ensalada Estilo César de Pimienta y Pistacho con Pollo"
"Pesto-Encrusted Cod with Roasted Tomatoes and Asparagus","Bacalao con Costra de Pesto y Tomates Asados y Espárragos"
"Pickled Brussels Sprouts","Coles de Bruselas en Escabeche"
"Pinto Bean, Brown Rice and Spinach Salad","Ensalada de Frijoles Pinto, Arroz Integral y Espinaca"
"Plant-Based \"Steak\" Fajitas","Fajitas de \"Bistec\" a Base de Plantas"
"Plum Salad with Goat Cheese and Walnuts","Ensalada de Ciruela con Queso de Cabra y Nueces"
"Portobello Mushrooms & Onions with Balsamic Glaze","Champiñones Portobello y Cebollas con Glaseado de Balsámico"
"Potato and cauliflower salad","Ensalada de Patata y Coliflor"
"Powerhouse Kale Salad","Ensalada de Kale Poderosa"
"Power Lunch Salad","Ensalada de Almuerzo Energético"
"Pumpkin Chowder With Toasted Pepitas","Chowder de Calabaza con Pepitas Tostadas"
"Quick Broccoli Slaw","Ensalada de Brócoli Rápida"
"Quick Herb-Tomato Soup","Sopa Rápida de Hierbas y Tomate"
"Quinoa, Arugula, and Apricot Salad","Ensalada de Quinoa, Rúcula y Albaricoque"
"Quinoa Tabbouleh","Tabbouleh de Quinoa"
"Radish & Watermelon Arugula Salad","Ensalada de Rábano, Sandía y Rúcula"
"Ratatouille","Ratatouille"
"Red Onion Green Beans","Judías Verdes con Cebolla Roja"
"Ricotta, Grilled Eggplant, and Fresh Mint Bruschetta (Bruschetta Calabrese)","Bruschetta de Ricotta, Berenjena a la Parrilla y Menta Fresca (Bruschetta Calabrese)"
"Roasted Asparagus Salad","Ensalada de Espárragos Asados"
"Roasted Baby Carrots","Zanahorias Baby Asadas"
"Roasted Beet, Apple and Queso Fresco Salad","Ensalada de Remolacha Asada, Manzana y Queso Fresco"
"Roasted Beet, Tahini, and Greek Yogurt Dip","Dip de Remolacha Asada, Tahini y Yogur Griego"
"Roasted Beets with Lemon and Dill","Remolachas Asadas con Limón y Eneldo"
"Roasted Beet and Chicken Salad with Goat Cheese","Ensalada de Remolacha y Pollo Asado con Queso de Cabra"
"Roasted Broccoli & Fregola Sarda with Hard-Boiled Eggs & Tahini Dressing","Brócoli Asado y Fregola Sarda con Huevos Duros y Aderezo de Tahini"
"Roasted Brussels Sprouts and Butternut Squash","Coles de Bruselas y Calabaza Butternut Asadas"
"Roasted Brussels Sprouts with Bacon","Coles de Bruselas Asadas con Tocino"
"Roasted Brussels Sprouts With Honey Mustard","Coles de Bruselas Asadas con Miel y Mostaza"
"Roasted Cabbage Steaks","Bistecs de Repollo Asados"
"Roasted Cauliflower, Onions, And Sweet Potatoes","Coliflor, Cebollas y Batatas Asadas"
"Roasted Cauliflower","Coliflor Asada"
"Roasted Cauliflower Steaks & Kale Farro with Grape, Mustard & Thyme Pan Sauce","Bistecs de Coliflor Asados y Farro con Kale con Salsa de Uva, Mostaza y Tomillo"
"Roasted Chicken and Arugula Salad","Ensalada de Pollo Asado y Rúcula"
"Roasted Chicken with Vegetables and Cranberries","Pollo Asado con Verduras y Arándanos"
"Roasted Fall Vegetables","Verduras de Otoño Asadas"
"Roasted Greek Eggplant with Feta","Berenjena Griega Asada con Feta"
"Roasted Green Beans in Champagne Vinaigrette","Judías Verdes Asadas con Vinagreta de Champagne"
"Roasted Indian Cauliflower Tossed With Chickpeas And Cashews","Coliflor India Asada con Garbanzos y Anacardos"
"Roasted Pepper Salad","Ensalada de Pimiento Asado"
"Roasted Potatoes, Carrots and Parsnips","Patatas, Zanahorias y Chirivías Asadas"
"Roasted Radishes","Rábanos Asados"
"Roasted Rainbow Carrots","Zanahorias Arcoíris Asadas"
"Roasted Red Pepper Coulis","Coulis de Pimiento Rojo Asado"
"Roasted Root Vegetable Soup","Sopa de Verduras de Raíz Asadas"
"Roasted Stuffed Artichokes","Alcachofas Rellenas Asadas"
"Roasted Sweet Potatoes with Lemon-Dill Yogurt Sauce","Batatas Asadas con Salsa de Yogur, Limón y Eneldo"
"Roasted Vegetables","Verduras Asadas"
"Roasted Vegetable Enchilada Bake","Horno de Enchiladas de Verduras Asadas"
"Roasted Veggie Strata","Strata de Verduras Asadas"
"Roasted Winter Vegetables","Verduras de Invierno Asadas"
"Romaine Lettuce","Lechuga Romana"
"Romaine Peppercorn-Steak Salad","Ensalada de Bistec de Pimienta con Lechuga Romana"
"Ronaldo’s Cuban Sandwich","Sándwich Cubano de Ronaldo"
"Root Vegetable Cakes","Pasteles de Verduras de Raíz"
"Rustic Red Potatoes and Green Beans","Patatas Rojas y Judías Verdes Rústicas"
"Rutabaga and Carrot Hash","Hash de Nabo y Zanahoria"
"Salad Bar Gazpacho Salad","Ensalada de Gazpacho para Barra de Ensaladas"
"Salad Bar Salsa With Grilled Flank Steak","Salsa para Barra de Ensaladas con Bistec de Falda a la Parrilla"
"Salad Greens with Spiced Pecans","Verduras para Ensalada con Pacanas Especiadas"
"Salmon and Rice Bowls","Tazones de Salmón y Arroz"
"Salmon Quinoa Risotto","Risotto de Quinoa con Salmón"
"Satay Zucchini Noodles","Tallarines de Calabacín Satay"
"Sauteed Baby Spinach With Currants and Pine Nuts","Espinacas Baby Salteadas con Grosellas y Piñones"
"Sautéed Asparagus, Peppers and Mushrooms","Espárragos, Pimientos y Champiñones Salteados"
"Sautéed Kale with Turkey Bacon","Kale Salteado con Tocino de Pavo"
"Sautéed Thyme Mushrooms","Champiñones Salteados con Tomillo"
"Savory Cauliflower and Cheesy Cakes","Pasteles Salados de Coliflor y Queso"
"Seared Salmon & Shallot-Dijon Vinaigrette with Roasted Potatoes & Sautéed Vegetables","Salmón Sellado y Vinagreta de Chalota y Dijon con Patatas Asadas y Verduras Salteadas"
"Seasonal Heirloom Tomato Salad","Ensalada de Tomates Herencia de Temporada"
"Shakshuka","Shakshuka"
"Shaved Asparagus, Radish and Parmesan Salad","Ensalada de Espárragos Rallados, Rábano y Parmesano"
"Sheet Pan Teriyaki Salmon and Vegetables","Salmón Teriyaki y Verduras al Horno en Bandeja"
"Shrimp Creole and Cauliflower Grits","Camarones Creole y Grits de Coliflor"
"Side Greek Salad with Red Wine Vinaigrette","Ensalada Griega de Acompañamiento con Vinagreta de Vino Tinto"
"Simple Chicken Stirfry","Salteado Simple de Pollo"
"Simple Roasted Cauliflower","Coliflor Asada Simple"
"Simple Roasted Peppers","Pimientos Asados Simples"
"Simple Side Salad with Balsamic Vinaigrette","Ensalada de Acompañamiento Simple con Vinagreta de Balsámico"
"Simple Summer Cucumber and Tomato Salad","Ensalada Simple de Pepino y Tomate de Verano"
"Slow-Cooker Ratatouille with White Beans","Ratatouille en Slow-Cooker con Frijoles Blancos"
"Smoky Chicken and Three Bean Salad","Ensalada de Pollo Ahumado y Tres Frijoles"
"Smoky Mushrooms","Champiñones Ahumados"
"Smoky White Beans and Spinach","Frijoles Blancos Ahumados y Espinacas"
"Southern Broccoli Salad","Ensalada de Brócoli Sureña"
"Southwestern Coleslaw","Ensalada de Coles del Suroeste"
"Spaghetti Squash Parmigiano","Calabaza Espagueti con Parmigiano"
"Spaghetti Squash Primavera","Calabaza Espagueti Primavera"
"Spanish-Spiced Beef & Kale Salad with Creamy Saffron Dressing","Ensalada de Carne con Kale y Especias Españolas con Aderezo Cremoso de Azafrán"
"Spiced Chicken & Kale Salad with Parmesan Breadcrumbs & Salsa Verde Dressing","Ensalada de Pollo y Kale con Crotones de Parmesano y Aderezo de Salsa Verde"
"Spiced Ginger Carrot Soup","Sopa de Zanahoria con Jengibre y Especias"
"Spinach, Avocado, and Summer Berry Salad","Ensalada de Espinaca, Aguacate y Frutas del Bosque de Verano"
"Spinach and Mushroom Quesadillas","Quesadillas de Espinaca y Champiñones"
"Spinach and Orange Salad","Ensalada de Espinaca y Naranja"
"Spinach and Sweet Potato Curry (Saag Aloo)","Curry de Espinaca y Batata (Saag Aloo)"
"Spinach Artichoke Stuffed Portobellos","Portobellos Rellenos de Espinaca y Alcachofa"
"Spinach Salad with Chicken and Avocado","Ensalada de Espinaca con Pollo y Aguacate"
"Spinach Sautéed in Garlic and Oil","Espinacas Salteadas en Ajo y Aceite"
"Steak Salad with Orange","Ensalada de Bistec con Naranja"
