"Inglés","Español"
"Budget-Friendly BBQ Chicken Salad","Ensalada de Pollo BBQ Económica"
"Budget-Friendly Braised Chicken Thighs with Mushrooms","Muslos de Pollo Estofados con Champiñones Económicos"
"Budget-Friendly Chicken Chili","Chili de Pollo Económico"
"Budget-Friendly Chicken Piccata","Piccata de Pollo Económica"
"Budget-Friendly Chicken Sausage and Cabbage Skillet","Sartén de Salchicha de Pollo y Repollo Económica"
"Budget-Friendly Chicken Sausage Hash","Hash de Salchicha de Pollo Económico"
"Budget-Friendly Chicken Tostadas","Tostadas de Pollo Económicas"
"Budget-Friendly Cilantro Lime Roasted Chicken","Pollo Asado con Cilantro y Lima Económico"
"Budget-Friendly Cod Provencale","Bacalao Provencal Económico"
"Budget-Friendly Deluxe Chicken Nachos","Nachos de Pollo Deluxe Económicos"
"Budget-Friendly Egg, Ham and Spinach Sandwich","Sándwich Económico de Huevo, Jamón y Espinaca"
"Budget-Friendly Greek Salad and Grilled Shrimp Pitas","Pitas Económicas con Ensalada Griega y Camarones a la Parrilla"
"Budget-Friendly Hearty Cabbage Soup","Sopa Sustanciosa de Repollo Económica"
"Budget-Friendly Herb Garlic Meatloaf","Pastel de Carne con Hierbas y Ajo Económico"
"Budget-Friendly Kale and Sausage Sauté","Salteado Económico de Col Rizada y Salchicha"
"Budget-Friendly Mediterranean Fish Stew","Estofado de Pescado Mediterráneo Económico"
"Budget-Friendly Pastitsio (Greek Lasagna)","Pastitsio Económico (Lasagna Griega)"
"Budget-Friendly Pork Chops with Peach Salsa","Chuletas de Cerdo con Salsa de Durazno Económicas"
"Budget-Friendly Roasted Veggie Tacos","Tacos de Verduras Asadas Económicas"
"Budget-Friendly Salmon Burgers","Hamburguesas de Salmón Económicas"
"Budget-Friendly Slow-Cooker Chicken & Sweet Potatoes","Pollo y Batatas en Olla de Cocción Lenta Económicas"
"Budget-Friendly Stuffed Peppers","Pimientos Rellenos Económicos"
"Budget-Friendly Summer Vegetable Frittata","Frittata de Verduras de Verano Económica"
"Budget-Friendly Tuna Pasta Salad","Ensalada de Pasta con Atún Económica"
"Budget-Friendly Vegetable Stew with Whole Wheat Dumplings","Estofado de Verduras con Albóndigas de Trigo Integral Económico"
"Budget-Friendly Veggie Burgers with Mango Slaw","Hamburguesas de Verduras con Ensalada de Mango Económicas"
"Buffalo Chicken Legs with Blue Cheese Salad","Piernas de Pollo Buffalo con Ensalada de Queso Azul"
"Bulgogi (Grilled Korean Beef)","Bulgogi (Carne de Res Coreana a la Parrilla)"
"Butternut Squash and Kale Soup","Sopa de Calabaza y Col Rizada"
"Caldo Verde (Green Soup)","Caldo Verde (Sopa Verde)"
"Canned Protein Burger","Hamburguesa de Proteína en Conserva"
"Cauliflower Fried \"Rice\"","\"Arroz\" Frito de Coliflor"
"Cheesy Chicken, Brussel Sprouts & Mushroom Bake","Gratén de Pollo, Coles de Bruselas y Champiñones con Queso"
"Cheesy Savory Oatmeal","Avena Salada con Queso"
"Chicken, Mushroom and Barley Soup","Sopa de Pollo, Champiñones y Cebada"
"Chicken and Dumplings","Pollo con Albóndigas"
"Chicken and Vegetable Soup","Sopa de Pollo y Verduras"
"Chicken Apple Crunch Salad","Ensalada Crujiente de Pollo y Manzana"
"Chicken Curry","Curry de Pollo"
"Chicken Nuggets with Honey Mustard Dipping Sauce","Nuggets de Pollo con Salsa de Miel y Mostaza"
"Chop-Free Chili","Chili sin Picar"
"Citrus-Baked Pork Chops","Chuletas de Cerdo al Horno con Cítricos"
"Coastal Sancocho","Sancocho Costero"
"Coffee-Rubbed Steak","Bistec Frotado con Café"
"Colorful Pasta Salad","Ensalada de Pasta Colorida"
"Crab Cake Burger","Hamburguesa de Pastel de Cangrejo"
"Creamy Chicken & Broccoli Basil Pesto Salad","Ensalada Cremosa de Pollo, Brócoli y Pesto de Albahaca"
"Creole Beef Steak","Bistec de Res Criollo"
"Creole Drums","Muslos Criollos"
"Crispy Baked Broccoli","Brócoli al Horno Crujiente"
"Crock Pot Chicken Cacciatore","Pollo Cacciatore en Olla de Cocción Lenta"
"Crock Pot Moo Shu Chicken","Pollo Moo Shu en Olla de Cocción Lenta"
"Crunchy Coleslaw Turkey Sandwich","Sándwich de Pavo con Ensalada de Col Crujiente"
"Cucumber and Onion Salad","Ensalada de Pepino y Cebolla"
"Easy Beef Chili","Chili de Res Fácil"
"Easy Broccoli and Shrimp Stir-Fry","Salteado Fácil de Brócoli y Camarones"
"Easy Chicken and Vegetable Casserole","Cazuela Fácil de Pollo y Verduras"
"Easy Chicken Panini","Panini de Pollo Fácil"
"Easy Egg Muffins","Muffins de Huevo Fáciles"
"Easy Egg Salad","Ensalada de Huevo Fácil"
"Easy Middle Eastern Green Beans","Judías Verdes de Oriente Medio Fáciles"
"Easy Turkey Chili","Chili de Pavo Fácil"
"Egg and Avocado Toasts","Tostadas de Huevo y Aguacate"
"Ensalada de Zanahoria & Col","Ensalada de Zanahoria y Col"
"Ensalada de zanahoria y col","Ensalada de Zanahoria y Col"
"Everyday Herb Oil","Aceite de Hierbas Diario"
"Family Style Chicken Pot Pie","Pastel de Pollo al Estilo Familiar"
"Farrotto with Roasted Vegetables and Tilapia","Farrotto con Verduras Asadas y Tilapia"
"Favorite Vegetable Soup","Sopa de Verduras Favorita"
"Gingered Pumpkin Bisque","Bisqué de Calabaza con Jengibre"
"Greek Yogurt-Marinated Chicken","Pollo Marinado en Yogur Griego"
"Green Beans with Mushrooms and Onions","Judías Verdes con Champiñones y Cebollas"
"Green Bell Pepper Enchiladas","Enchiladas de Pimiento Verde"
"Grilled Chicken Sausage with Zucchini and Peppers","Salchicha de Pollo a la Parrilla con Calabacín y Pimientos"
"Grilled Honey-Lime Chicken","Pollo a la Parrilla con Miel y Lima"
"Grilled Pork Tenderloin with Peach Salsa","Lomo de Cerdo a la Parrilla con Salsa de Durazno"
"Grilled Salmon and Avocado Salad","Ensalada de Salmón a la Parrilla y Aguacate"
"Grilled Shrimp Tacos","Tacos de Camarones a la Parrilla"
"Grilled Steak Salad","Ensalada de Bistec a la Parrilla"
"Ham and Broccoli Frittata","Frittata de Jamón y Brócoli"
"Hard Boiled Egg","Huevo Duro"
"Herbed Soft Scrambled Eggs on Toast","Huevos Revueltos Suaves con Hierbas sobre Tostada"
"Herbs de Provence Roasted Chicken Breasts","Pechugas de Pollo Asadas con Hierbas de Provenza"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Honey Mustard Chicken Thighs with Wild Rice","Muslos de Pollo con Miel y Mostaza con Arroz Salvaje"
"Hummus Deviled Eggs","Huevos Endiablados con Hummus"
"Hummus de Lentejas rojas","Hummus de Lentejas Rojas"
"Instant Pot Asian Spaghetti Squash","Calabaza Espagueti Asiática en Instant Pot"
"Instant Pot Black and White Turkey Chili Soup","Sopa de Chili de Pavo Blanco y Negro en Instant Pot"
"Instant Pot Chicken Italian Soup with Artichokes","Sopa Italiana de Pollo con Alcachofas en Instant Pot"
"Instant Pot Chicken Sausage and Zucchini Stuffed Potatoes","Papas Rellenas de Salchicha de Pollo y Calabacín en Instant Pot"
"Instant Pot Freezer Fix Chili","Chili para Congelador en Instant Pot"
"Instant Pot Individual Egg and Vegetable Frittatas","Frittatas Individuales de Huevo y Verduras en Instant Pot"
"Instant Pot Lentils and Poached Eggs","Lentejas y Huevos Escalfados en Instant Pot"
"Instant Pot Panko-Crusted Cod","Bacalao Empanizado con Panko en Instant Pot"
"Instant Pot Pumpkin-Spiced Turkey Chili","Chili de Pavo con Calabaza y Especias en Instant Pot"
"Instant Pot Vegetarian Thai Mushroom Soup","Sopa de Champiñones Thai Vegetariana en Instant Pot"
"Italian-Style Blistered Tomatoes","Tomates Estofados al Estilo Italiano"
"Italian Tomato-Basil Soup","Sopa de Tomate y Albahaca Italiana"
"Jalapeño Chicken and Corn Chowder","Chowder de Pollo y Maíz con Jalapeño"
"Japanese Chicken and Spinach Rice Bowls","Tazones de Arroz con Pollo y Espinaca al Estilo Japonés"
"Just Peachy Yogurt and Granola Jar","Frasco de Yogur y Granola de Durazno"
"Kidney Bean Stew","Estofado de Frijoles Rojos"
"Lemon Herbed Chicken","Pollo con Limón y Hierbas"
"Light Blue Cheese Dressing","Aderezo Ligero de Queso Azul"
"\"Love Your Leftovers\" BBQ Bowl","Tazón BBQ \"Ama tus Sobras\""
"Low-Carb Cauliflower Mashed \"Potatoes\"","\"Puré de Papas\" de Coliflor Bajo en Carbohidratos"
"Low Carb Lunchbox","Lonchera Baja en Carbohidratos"
"Low Carb Veggie Fried Rice Bowl","Tazón de Arroz Frito de Verduras Bajo en Carbohidratos"
"Mandarin, Greens, and Protein Bowl","Tazón de Mandarinas, Verduras y Proteína"
"Maple-Mustard Chicken Thighs","Muslos de Pollo con Miel y Mostaza"
"Maple-Thyme Roasted Brussel Sprouts","Coles de Bruselas Asadas con Arce y Tomillo"
"Mashed Red Potatoes","Puré de Papas Rojas"
"Mediterranean Chicken Pita","Pita de Pollo Mediterránea"
"Mediterranean Grain Bowl with Pork Skewers","Tazón de Granos Mediterráneo con Brochetas de Cerdo"
"Mediterranean Lentil Soup","Sopa de Lentejas Mediterránea"
"Mediterranean Zucchini","Calabacín Mediterráneo"
"Mexican-Style Stuffed Bell Peppers","Pimientos Rellenos al Estilo Mexicano"
"Microwave Egg and Veggie Jars","Frascos de Huevo y Verduras en Microondas"
"Millet Pancakes with Lentil Puree","Panqueques de Mijo con Puré de Lentejas"
"Mini Apple Chimichanga","Mini Chimichanga de Manzana"
"Miso Glazed Cod","Bacalao Glaseado con Miso"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Mole Pork Tenderloin with Zucchini and Refried Black Beans","Lomo de Cerdo con Mole, Calabacín y Frijoles Negros Refritos"
"Moroccan Lentils with Stewed Tomatoes","Lentejas Marroquíes con Tomates Guisados"
"Mushroom Burger","Hamburguesa de Champiñones"
"Mustard-Herb Roasted Pork Tenderloin","Lomo de Cerdo Asado con Mostaza y Hierbas"
"Nicoise-Inspired Salad","Ensalada Inspirada en Nicoise"
"Nuts for Pine Nuts Pizza","Pizza de Piñones con Nueces"
"Oatmeal Congee","Congee de Avena"
"One-Pot Roasted Chicken with Acorn Squash","Pollo Asado en Una Sola Olla con Calabaza Bellota"
"Oven-Baked Maduros (Sweet Plantains)","Maduros al Horno (Plátanos Dulces)"
"Oven-Barbecued Chicken","Pollo Barbacoa al Horno"
"Pad Thai Spaghetti Squash","Calabaza Espagueti Pad Thai"
"Panzanella Salad","Ensalada Panzanella"
"Parmesan Lemon Crusted Flounder with Green Beans Amandine","Platija Empanizada con Parmesano y Limón con Judías Verdes Amandine"
"Parsley Lemon Chickpea Salad","Ensalada de Garbanzos con Perejil y Limón"
"Peach & Cream Smoothie","Batido de Durazno y Crema"
"Peanut Chicken with Cauliflower Rice","Pollo con Cacahuate y Arroz de Coliflor"
"Pecan-Crusted Pork Tenderloin with Apples and Onions","Lomo de Cerdo Empanizado con Pacanas, Manzanas y Cebollas"
"Penne with Eggplant-Tomato Sauce","Penne con Salsa de Berenjena y Tomate"
"Peruvian Chicken Saltado","Saltado de Pollo Peruano"
"Pesto Chicken Kababs","Kababs de Pollo con Pesto"
"Pesto Chicken with Vegetables and Spaghetti","Pollo con Pesto, Verduras y Espaguetis"
"Pineapple and Chile Quesadillas","Quesadillas de Piña y Chile"
"Plant-Based \"Steak\" Fajitas","Fajitas de \"Bistec\" a Base de Plantas"
"Pulled Chicken with Cilantro Lime","Pollo Desmenuzado con Cilantro y Lima"
"Red Lentil Hummus","Hummus de Lentejas Rojas"
"Roasted Asparagus with Parmesan","Espárragos Asados con Parmesano"
"Roasted Beet and Chicken Salad with Goat Cheese","Ensalada de Remolacha Asada y Pollo con Queso de Cabra"
"Roasted Brussels Sprouts and Butternut Squash","Coles de Bruselas y Calabaza Mantequilla Asadas"
"Roasted Cabbage Steaks","Filetes de Repollo Asados"
"Roasted Chicken and Arugula Salad","Ensalada de Pollo Asado y Rúcula"
"Roasted Chicken Breasts","Pechugas de Pollo Asadas"
"Roasted Pineapple Salsa","Salsa de Piña Asada"
"Roasted Sweet Potatoes with Lemon-Dill Yogurt Sauce","Batatas Asadas con Salsa de Yogur, Limón y Eneldo"
"Roasted Veggie Strata","Strata de Verduras Asadas"
"Ronaldo's Apple Pie","Pastel de Manzana de Ronaldo"
"Salmon Croquettes with Yogurt-Horseradish Sauce","Croquetas de Salmón con Salsa de Yogur y Rábano Picante"
"Savory Tzatziki-Style Greek Yogurt","Yogur Griego al Estilo Tzatziki Salado"
"Seasonal Baked Whitefish Pouch","Pouch de Pescado Blanco al Horno de Temporada"
"Sheet Pan Chicken, Green Beans & Potatoes","Pollo, Judías Verdes y Papas en Bandeja"
"Sheet Pan Salmon and Green Beans","Salmón y Judías Verdes en Bandeja"
"Sheet Pan Zucchini and Red Pepper \"Stir-Fry\"","Salteado de Calabacín y Pimiento Rojo en Bandeja"
"Shrimp Fajitas","Fajitas de Camarones"
"Simple Brown Rice with Scallions","Arroz Integral Simple con Cebolletas"
"Simple Chicken Stirfry","Salteado Simple de Pollo"
"Simple Roasted Cauliflower","Coliflor Asada Simple"
"Simple Roasted Peppers","Pimientos Asados Simples"
"Sloppy Janes","Sloppy Janes"
"Slow-Cooked Whole Chicken","Pollo Entero Cocido a Fuego Lento"
"Slow-Cooker Beef Stew","Estofado de Res en Olla de Cocción Lenta"
"Slow-Cooker Hawaiian Pork Tacos","Tacos de Cerdo Hawaiano en Olla de Cocción Lenta"
"Slow-Cooker Ratatouille with White Beans","Ratatouille con Frijoles Blancos en Olla de Cocción Lenta"
"Slow Cooker Pork and Pumpkin Stew","Estofado de Cerdo y Calabaza en Olla de Cocción Lenta"
"Smoky Chicken and Three Bean Salad","Ensalada Ahumada de Pollo y Tres Frijoles"
"Smoky Pan Roasted Chicken with Potatoes and Beans","Pollo Asado en Sartén Ahumado con Papas y Frijoles"
"Sorghum Split Pea Soup","Sopa de Guisantes Partidos con Sorgo"
"Southern Collard Greens","Verduras de Col Sur"
"Southwest-Style Turkey Meatloaf","Pastel de Carne de Pavo al Estilo Suroeste"
"Southwest Breakfast Quiche","Quiche de Desayuno al Estilo Suroeste"
"Spiced Pork & Glazed Apple with Roasted Vegetables","Cerdo Especiado y Manzana Glaseada con Verduras Asadas"
"Spiced Sweet Potato Fries","Papas Fritas de Batata Especiadas"
"Spicy Apricot-Glazed Pork with Sweet Potatoes and Peppers","Cerdo Glaseado con Albaricoque Picante con Batatas y Pimientos"
"Spinach and Ham English Muffin Pizzas","Pizzas de Muffin Inglés con Espinaca y Jamón"
"Spinach and Mushroom Quesadillas","Quesadillas de Espinaca y Champiñones"
"Spinach and Turkey Meatballs","Albóndigas de Espinaca y Pavo"
"Spinach Salad with Chicken and Avocado","Ensalada de Espinaca con Pollo y Aguacate"
"Strawberry Banana \"Ice Cream\"","\"Helado\" de Fresa y Banana"
"Strawberry Cream Cheese French Toast Casserole","Cazuela de Tostadas Francesas con Fresas y Queso Crema"
"Strawberry Poppyseed Chicken Salad","Ensalada de Pollo con Fresas y Semillas de Amapola"
"Summer Chicken Spring Rolls","Rollitos de Primavera de Pollo de Verano"
"Sweet Chili Chicken, Sweet Potatoes, and Broccoli","Pollo con Chile Dulce, Batatas y Brócoli"
"\"Sweet\" Potato Fries","Papas Fritas de \"Batata\""
"Tailgate Nachos","Nachos para Tailgate"
"Tarragon Herbed Chicken and Mushrooms","Pollo y Champiñones con Hierbas de Estragón"
"Tarragon Tomatoes","Tomates con Estragón"
"Tasty Cooked Greens","Verduras Cocidas Sabrosas"
"Three-Minute Skillet Beans & Greens","Frijoles y Verduras en Sartén en Tres Minutos"
"Tofu Stir Fry","Salteado de Tofu"
"Tomato & Sweet Onion Stovetop Okra","Quimbombó de Tomate y Cebolla Dulce en Estufa"
"Tuna Ceviche","Ceviche de Atún"
"Tuna Salad Avocado Bowls","Tazones de Ensalada de Atún y Aguacate"
"Turkey & Barley Soup","Sopa de Pavo y Cebada"
"Turkey and Veggie Chili","Chili de Pavo y Verduras"
"Turkey Chili Stuffed Sweet Potatoes","Batatas Rellenas de Chili de Pavo"
"Twice-Baked Spaghetti Squash","Calabaza Espagueti Doble Al Horno"
"Unstuffed Cabbage Soup","Sopa de Repollo sin Relleno"
"Unstuffed Eggroll","Rollito de Huevo sin Relleno"
"Unstuffed Pepper Casserole","Cazuela de Pimientos sin Relleno"
"Vaca Frita Beef","Vaca Frita de Res"
"Vegetarian Shepherd’s Pie","Pastel de Pastor Vegetariano"
"Vegetarian Tacos","Tacos Vegetarianos"
"Veggie and Chicken Pasta Salad","Ensalada de Pasta con Verduras y Pollo"
"Veggie Breakfast Wrap","Wrap de Desayuno con Verduras"
"Veggie Dip Cups","Tazas de Dip de Verduras"
"Veggie Egg Fu Yung","Fu Yung de Huevo y Verduras"
"Watermelon Lime Slushie","Granizado de Sandía y Lima"
"Whole Grain Chicken Pot Pie","Pastel de Pollo de Grano Entero"
"Whole Roasted Cauliflower with Lemon Vinaigrette","Coliflor Entera Asada con Vinagreta de Limón"
"Zucchini Egg Boats","Barcos de Huevo con Calabacín"
"Zucchini Noodles with Turkey Meatballs","Fideos de Calabacín con Albóndigas de Pavo"
"Zuppa Toscana with Cauliflower and Kale","Zuppa Toscana con Coliflor y Col Rizada"
