"Inglés","Español"
"Basic Bean Burger","Hamburguesa Básica de Frijoles"
"Basic Tuscan Bean Soup","Sopa Básica de Frijoles Toscana"
"Basil Pesto Cream","Crema de Pesto de Albahaca"
"Basil Tomatoes","Tomates con Albahaca"
"BBQ Popcorn","Palomitas de Maíz BBQ"
"Bean and Cheese Tostadas","Tostadas de Frijoles y Queso"
"Beet and Arugula Salad with Feta","Ensalada de Remolacha y Rúcula con Feta"
"Berries and Cream","Frutas del Bosque y Crema"
"Berry, Chocolate, And Vanilla Soy Strata","Strata de Fresas, Chocolate y Vainilla con Soja"
"Berry Almond Oatmeal","Avena con Frutas del Bosque y Almendra"
"Berry Crisp","Crisp de Frutas del Bosque"
"Berry Salsa","Salsa de Frutas del Bosque"
"Better Mashed Potatoes","Puré de Patatas Mejorado"
"Bibb and Bean Burrito Bowl","Tazón de Burrito de Bibb y Frijol"
"Big Skillet Breakfast","Desayuno Grande en Sartén"
"Black-Eyed Pea Salad","Ensalada de Frijoles Negros"
"Black Bean and Corn Salad","Ensalada de Frijoles Negros y Maíz"
"Black Bean and Mango Salsa Lettuce Wraps","Rollitos de Lechuga con Salsa de Frijoles Negros y Mango"
"Black Bean and Peach Salsa","Salsa de Frijoles Negros y Durazno"
"Black Bean Hummus","Hummus de Frijoles Negros"
"Black Bean Patties with Cilantro and Lime","Croquetas de Frijoles Negros con Cilantro y Lima"
"Blanco Huevos Rancheros","Huevos Rancheros Blancos"
"Blueberry Green Tea Smoothie","Batido de Té Verde y Arándanos"
"Blueberry Lemon Yogurt Parfait","Parfait de Yogur con Arándanos y Limón"
"Blueberry Yogurt Lemon Bars","Barras de Yogur con Arándanos y Limón"
"BONUS RECIPE: Lemony Fruit Cups","RECETA EXTRA: Tazas de Frutas al Limón"
"Bountiful Harvest Vegetable Salad","Ensalada de Verduras de Cosecha Abundante"
"Braised Fennel and White Beans","Hinojo y Frijoles Blancos Guisados"
"Broccoli, Frozen & Cooked","Brócoli, Congelado y Cocido"
"Broccoli-Stuffed Sweet Potatoes","Batatas Rellenas de Brócoli"
"Broccoli Amandine","Brócoli Amandine"
"Broccoli and Apple Salad","Ensalada de Brócoli y Manzana"
"Broccoli and Mandarin Orange Salad","Ensalada de Brócoli y Naranja Mandarina"
"Broccoli Cheese Bites","Bocaditos de Brócoli y Queso"
"Brown Rice And Edamame Salad","Ensalada de Arroz Integral y Edamame"
"Brown Rice Congee with Stir-Fried Herbs","Congee de Arroz Integral con Hierbas Salteadas"
"Bruschetta Stuffed Zucchini Boats","Barcos de Calabacín Rellenos de Bruschetta"
"Brussels Sprouts Slaw","Ensalada de Coles de Bruselas"
"Brussels Sprouts With Oranges","Coles de Bruselas con Naranjas"
"Brussels Sprout Salad with Avocado, Artichokes & Creamy Honey-Mustard Dressing","Ensalada de Coles de Bruselas con Aguacate, Alcachofas y Aderezo Cremoso de Miel y Mostaza"
"Budget-Friendly Roasted Veggie Tacos","Tacos de Verduras Asadas Económicos"
"Budget-Friendly Summer Vegetable Frittata","Frittata Económica de Verduras de Verano"
"Budget-Friendly Veggie Burgers with Mango Slaw","Hamburguesas de Verduras Económicas con Ensalada de Mango"
"Butternut Squash and Kale Soup","Sopa de Calabaza y Kale"
"Butternut Squash Gratin","Gratén de Calabaza"
"Cabbage Salad","Ensalada de Repollo"
"Caesar-Style Salad with Rustic Croutons","Ensalada Estilo César con Crutones Rústicos"
"Caprese Kabobs","Brochetas Caprese"
"Caribbean Bean Dip","Dip de Frijoles Caribeño"
"Carrot Cake Whoopie Pies","Pasteles Whoopie de Pastel de Zanahoria"
"Cauliflower \"Rice\" Salad","Ensalada de \"Arroz\" de Coliflor"
"Cauliflower Tabbouleh","Tabbouleh de Coliflor"
"Chana (Chickpea) Masala","Masala de Chana (Garbanzos)"
"Cheese and Veggie Pitas","Pitas de Queso y Verduras"
"Cheesy Cauliflower Tots","Tots de Coliflor con Queso"
"Cheesy Chicken, Brussel Sprouts & Mushroom Bake","Horno de Pollo, Coles de Bruselas y Champiñones con Queso"
"Chia Seed Falooda","Falooda de Semillas de Chía"
"Chickpea Pasta & Calabrian Tomato Sauce with Mushrooms, Spinach, and Peppers","Pasta de Garbanzo con Salsa de Tomate Calabrio, Champiñones, Espinacas y Pimientos"
"Chickpea Pasta with Roasted Vegetables","Pasta de Garbanzo con Verduras Asadas"
"Chickpea Patties With Mango Chutney","Croquetas de Garbanzo con Chutney de Mango"
"Chickpea Tabbouleh","Tabbouleh de Garbanzo"
"Chili-Roasted Shallots and Brussels Sprouts","Chalotas y Coles de Bruselas Asadas con Chile"
"Chili Lime Corn on the Cob","Elote con Chile y Lima"
"Chilled Persian Cucumber Soup with Chives","Sopa Fría de Pepino Persa con Cebollín"
"Chilled Tarragon and Tomato Soup","Sopa Fría de Estragón y Tomate"
"Chinese Five-Spice Kale Chips","Chips de Kale con Cinco Especias Chinas"
"Chocolate Peanut Butter Chia Seed Pudding","Pudín de Semillas de Chía con Chocolate y Mantequilla de Cacahuate"
"Chocolate Walnut Mug Cake","Pastel de Taza de Chocolate y Nuez"
"Chopped Mexican Salad with Lime","Ensalada Mexicana Picada con Lima"
"Chopped Salad with Cilantro Lime Dressing","Ensalada Picada con Aderezo de Cilantro y Lima"
"Chopped Veggie Salad with Feta","Ensalada Picada de Verduras con Feta"
"Cinnamon Apple Chips with Peanut Butter Yogurt Dip","Chips de Manzana con Canela y Dip de Yogur con Mantequilla de Cacahuate"
"Cinnamon Flan","Flan de Canela"
"Cinnamon French Vanilla Overnight Oats","Avena Nocturna de Canela y Vainilla Francesa"
"Cinnamon Ginger Apple On A Stick","Manzana con Canela y Jengibre en Palito"
"Cinnamon Roasted Pears","Peras Asadas con Canela"
"Classic Italian Panzanella Salad","Ensalada Panzanella Italiana Clásica"
"Cocoa-Peppermint Power Pudding, Plant-Based","Pudín Energético de Cacao y Menta, a Base de Plantas"
"Coconut Curry Trail Mix","Mix de Camino con Curry de Coco"
"Cold Pasta Salad","Ensalada de Pasta Fría"
"Colorful Pasta Salad","Ensalada de Pasta Colorida"
"Congrí Light (Cuban Black Beans and Rice)","Congrí Ligero (Frijoles Negros y Arroz Cubano)"
"Cookie Dough Hummus","Hummus de Masa de Galleta"
"Corn, Tomato, Pea and Dill Salad","Ensalada de Maíz, Tomate, Guisantes y Eneldo"
"Corn and Cheese Phyllo Empanadas","Empanadas de Phyllo de Maíz y Queso"
"Corn and Zucchini Tacos","Tacos de Maíz y Calabacín"
"Corn Bhutta (Roasted Corn on the Cob)","Bhutta de Maíz (Elote Asado)"
"Country Stuffed Summer Squash","Calabazas de Verano Rellenas Estilo Campestre"
"Cowboy Bean Fritters","Buñuelos de Frijol Cowboy"
"Creamy Cheesy Cauliflower","Coliflor Cremosa con Queso"
"Creamy Pumpkin Pasta","Pasta Cremosa de Calabaza"
"Creamy White Bean Soup with Basil and Olive Oil","Sopa Cremosa de Frijoles Blancos con Albahaca y Aceite de Oliva"
"Creole-Sauced Halibut","Halibut con Salsa Criolla"
"Creole Red Bean Ratatouille","Ratatouille de Frijoles Rojos Criolla"
"Crispy Asian Kale","Kale Asiático Crujiente"
"Crispy Baked Broccoli","Brócoli al Horno Crujiente"
"Crockpot Spinach Lasagna","Lasaña de Espinacas en Crockpot"
"Crunchy Asian Salad","Ensalada Asiática Crujiente"
"Crustless Asparagus & Pepper Mini Quiche","Mini Quiche sin Corteza de Espárragos y Pimientos"
"Crustless Asparagus and Tomato Quiche","Quiche sin Corteza de Espárragos y Tomate"
"Crustless Mediterranean Quiche","Quiche Mediterránea sin Corteza"
"Crustless Spinach and Mushroom Quiche","Quiche sin Corteza de Espinaca y Champiñones"
"Cubano Roasted Broccoli Florets","Ramilletes de Brócoli Asado Cubano"
"Cucumber and Onion Salad","Ensalada de Pepino y Cebolla"
"Cucumber Basil Mocktail","Mocktail de Pepino y Albahaca"
"Cucumber Guacamole","Guacamole de Pepino"
"Curried Chickpea Stew with Roasted Vegetables","Guiso de Garbanzo al Curry con Verduras Asadas"
"Curried Quinoa With Butternut Squash And Chickpeas","Quinoa al Curry con Calabaza y Garbanzos"
"Curried Roasted Beet Hummus","Hummus de Remolacha Asada al Curry"
"Dairy-Free Chocolate Ice Cream","Helado de Chocolate sin Lácteos"
"Dairy-Free Loaded Nachos","Nachos Cargados sin Lácteos"
"Dark Chocolate Zucchini Bread Snack Squares","Cuadrados de Snack de Pan de Calabacín con Chocolate Negro"
"Dijon and Horseradish Deviled Eggs","Huevos Endiablados con Mostaza de Dijon y Rábano Picante"
"Easy Egg Muffins","Muffins de Huevo Fáciles"
"Easy Egg Salad","Ensalada de Huevo Fácil"
"Easy Garlic Bok Choy","Bok Choy al Ajo Fácil"
"Easy Half-Mashed Potatoes with Cauliflower","Puré de Patatas y Coliflor a Medio Cocer Fácil"
"Easy Middle Eastern Green Beans","Judías Verdes del Medio Oriente Fáciles"
"Easy Perfectly Cooked Lentils","Lentejas Perfectamente Cocidas Fáciles"
"Easy Spinach Ricotta Enchiladas","Enchiladas de Espinaca y Ricotta Fáciles"
"Edamame and Pasta with Feta","Edamame y Pasta con Feta"
"Eggplant and Chickpea Stew","Guiso de Berenjena y Garbanzo"
"Eggplant Lasagna Roulades","Roulades de Lasaña de Berenjena"
"Eggplant With Roasted Red Bell Pepper Relish","Berenjena con Relish de Pimiento Rojo Asado"
"Eggs Benedict Florentine","Huevos Benedict Florentino"
"Egg and Avocado Toasts","Tostadas de Huevo y Aguacate"
"Egg and Veggie Casserole","Cazuela de Huevo y Verduras"
"Ensalada de Zanahoria & Col","Ensalada de Zanahoria y Repollo"
"Ensalada de zanahoria y col","Ensalada de Zanahoria y Repollo"
"Fall Granola with Pumpkin Seeds","Granola de Otoño con Semillas de Calabaza"
"Fanned Avocado Salad","Ensalada de Aguacate en Abanico"
"Farro, Edamame, And Dried Cranberry Salad","Ensalada de Farro, Edamame y Arándanos Secos"
"Fast-Fix Bean Burrito","Burrito de Frijol Rápido"
"Feelin’ Your Oats Burgers","Hamburguesas de Avena Feelin’ Your Oats"
"Fennel, Radish, and Orange Salad","Ensalada de Hinojo, Rábano y Naranja"
"Fig and Walnut Yogurt Tarts","Tartas de Yogur con Higo y Nuez"
"Fresh Black Bean Salsa","Salsa Fresca de Frijoles Negros"
"Fresh Corn Salad With Tomatoes And Basil","Ensalada de Maíz Fresco con Tomates y Albahaca"
"Fresh Vegetable Summer Rolls","Rollitos de Verano de Verduras Frescas"
"Frozen Yogurt Fruit Pops","Paletas de Yogur y Frutas Congeladas"
"Fruit-Filled Pancake Puffs","Bombas de Panqueque Rellenas de Frutas"
"Fruit-Sweetened BBQ Sauce","Salsa BBQ Endulzada con Frutas"
"Fruit and Almond Smoothie","Batido de Frutas y Almendra"
"Fruit and Cheese Kababs","Brochetas de Frutas y Queso"
"Fruit Salad with Honey Yogurt","Ensalada de Frutas con Yogur de Miel"
"Garbanzo Bean and Arugula Salad","Ensalada de Garbanzo y Rúcula"
"Garbanzo Bean Salad Quick Recipe","Receta Rápida de Ensalada de Garbanzo"
"Garden Caprese Salad","Ensalada Caprese del Jardín"
"Garden Harvest Soup","Sopa de Cosecha del Jardín"
"Garden Veggie and White Bean Chili","Chili de Verduras del Jardín y Frijoles Blancos"
"Garlicky Cilantro Lime Dressing","Aderezo de Ajo, Cilantro y Lima"
"Garlicky Ginger Eggplant","Berenjena con Ajo y Jengibre"
"Garlicky Sautéed Spinach","Espinacas Salteadas con Ajo"
"Garlicky Tomato Salad","Ensalada de Tomate con Ajo"
"Garlic Pita Crisps","Crujientes de Pita con Ajo"
"Garlic Sautéed Spinach and Kale","Espinacas y Kale Salteados con Ajo"
"General Tso’s Tofu with Broccoli","Tofu al General Tso con Brócoli"
"Gingered Pumpkin Bisque","Bisque de Calabaza con Jengibre"
"Ginger Honeydew Soup","Sopa de Melón con Jengibre"
"Ginger Infused Oatmeal","Avena Infundida con Jengibre"
"Gluten-Free Chocolate Banana Muffins","Muffins de Banana y Chocolate sin Gluten"
"Gluten-Free Chocolate Mug Cake","Pastel de Taza de Chocolate sin Gluten"
"Gluten-Free Quinoa Chocolate Chip Cookies","Galletas de Quinoa y Chispas de Chocolate sin Gluten"
"Good Morning Power Parfait","Parfait Energético de Buenos Días"
"Grape Tomato Succotash","Succotash de Tomate Uva"
"Greek Bean and Vegetable Soup","Sopa Griega de Frijoles y Verduras"
"Greek Bean Salad","Ensalada Griega de Frijoles"
"Greek Orzo Salad with Peas, Lemon and Kalamata Olives","Ensalada Griega de Orzo con Guisantes, Limón y Aceitunas Kalamata"
"Greek Vegetable Pita Pizzas","Pizzas de Pita con Verduras Griegas"
"Greek Yogurt Chocolate Mousse","Mousse de Chocolate con Yogur Griego"
"Green Beans With Cranberries and Hazelnuts","Judías Verdes con Arándanos y Avellanas"
"Green Beans with Mushrooms and Onions","Judías Verdes con Champiñones y Cebollas"
"Green Bean \"Fries\"","\"Papas Fritas\" de Judías Verdes"
"Green Chile Corn Chowder","Sopa de Maíz con Chile Verde"
"Green Salad with Orange, Avocado, and Onion","Ensalada Verde con Naranja, Aguacate y Cebolla"
"Green Salad with Raspberry Vinaigrette","Ensalada Verde con Vinagreta de Frambuesa"
"Green Vegetable Egg \"Tortilla\"","\"Tortilla\" de Huevo con Verduras Verdes"
"Grilled Angel Food Cake With Melted Berries","Pastel Angel Food a la Parrilla con Frutas del Bosque Derretidas"
"Grilled Cheesy Eggplant","Berenjena a la Parrilla con Queso"
"Grilled Corn with Chile and Lime","Elote a la Parrilla con Chile y Lima"
"Grilled Peaches with Fresh Blueberry Compote","Duraznos a la Parrilla con Compota de Arándanos Frescos"
"Grilled Peaches With White Balsamic And Mascarpone Cream","Duraznos a la Parrilla con Balsámico Blanco y Crema de Mascarpone"
"Grilled Portabellas with Tomato and Tuscan Herbs","Portabellas a la Parrilla con Tomate y Hierbas Toscana"
"Grilled Romaine Hearts With Champagne-Mustard Vinaigrette","Corazones de Lechuga Romana a la Parrilla con Vinagreta de Champagne y Mostaza"
"Grilled Salmon and Avocado Salad","Ensalada de Salmón a la Parrilla y Aguacate"
"Grilled Salmon with Mango and Tomato Salsa","Salmón a la Parrilla con Salsa de Mango y Tomate"
"Grilled Scallops with Chunky Salsa Verde","Vieiras a la Parrilla con Salsa Verde Gruesa"
"Grilled Sesame Asparagus","Espárragos al Sésamo a la Parrilla"
"Grilled Strawberries on “Crème” with Balsamic Glaze","Fresas a la Parrilla sobre \"Crema\" con Glaseado de Balsámico"
"Grilled Summer Veggies with Herb Dressing","Verduras de Verano a la Parrilla con Aderezo de Hierbas"
"Grilled Vegetable Napoleon","Napoleón de Verduras a la Parrilla"
"Grilled Vegetable Pasta Salad","Ensalada de Pasta con Verduras a la Parrilla"
"Grilled Vegetable Pizza","Pizza de Verduras a la Parrilla"
"Grilled Veggie Wrap","Wrap de Verduras a la Parrilla"
"Grilled Zucchini with Feta Cheese","Calabacín a la Parrilla con Queso Feta"
"Harvest Salad","Ensalada de Cosecha"
"Hawaiian Shaved Brussels Sprouts","Coles de Bruselas Ralladas al Estilo Hawaiano"
"Healthy Homemade Green Bean Casserole","Cazuela Saludable de Judías Verdes Casera"
"Healthy Snack Mix - Foodie Recipe","Mix de Snack Saludable - Receta de Foodie"
"Healthy Taco Dip","Dip de Taco Saludable"
"Herbed Bread Stuffing","Relleno de Pan con Hierbas"
"Herbed Panko Asparagus Spears","Espárragos con Panko y Hierbas"
"Herbed Soft Scrambled Eggs on Toast","Huevos Revueltos Suaves con Hierbas sobre Tostada"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Herb and Olive Oil Mashed Potatoes","Puré de Patatas con Hierbas y Aceite de Oliva"
"Herb Potato Salad","Ensalada de Patatas con Hierbas"
"High-Fiber Zucchini Muffins","Muffins de Calabacín Altos en Fibra"
"Holiday Brussels Sprouts with Cranberries","Coles de Bruselas Festivas con Arándanos"
"Holiday Pumpkin Pie With Maple-Ginger Crust","Pastel de Calabaza Festivo con Corteza de Maple y Jengibre"
"Holiday Veggie Platter with Hummus – Quick Recipe","Plato de Verduras Festivo con Hummus – Receta Rápida"
"Homemade Fruit-Sweetened Granola","Granola Casera Endulzada con Frutas"
"Homemade Instant Soup Jars","Frascos de Sopa Instantánea Casera"
"Huevos Rancheros","Huevos Rancheros"
"Hummus & Red Pepper Celery Logs","Bastones de Apio con Hummus y Pimiento Rojo"
"Hummus Deviled Eggs","Huevos Endiablados con Hummus"
"Indian Vegetable Curry","Curry de Verduras Indio"
"Ingrid Hoffmann's Veggie-Stuffed Poblanos","Poblanos Rellenos de Verduras de Ingrid Hoffmann"
"Instant Pot Almond-Toffee Topped Pears","Peras con Toffee de Almendra en Instant Pot"
"Instant Pot Asian Spaghetti Squash","Calabaza Espagueti Asiática en Instant Pot"
"Instant Pot Chia Berry Crepes","Crepes de Chía y Frutas del Bosque en Instant Pot"
"Instant Pot Coconut Curry Vegetable Rice Bowls","Tazones de Arroz con Verduras y Curry de Coco en Instant Pot"
"Instant Pot Individual Egg and Vegetable Frittatas","Frittatas Individuales de Huevo y Verduras en Instant Pot"
"Instant Pot Lentils and Poached Eggs","Lentejas y Huevos Escalfados en Instant Pot"
"Instant Pot Vegetarian Thai Mushroom Soup","Sopa Vegetariana Thai de Champiñones en Instant Pot"
"Instant Pot Wheat Berry, Black Bean, and Avocado Salad","Ensalada de Trigo Entero, Frijoles Negros y Aguacate en Instant Pot"
"Italian Salsa Salad","Ensalada de Salsa Italiana"
"Italian Tomato-Basil Soup","Sopa de Tomate y Albahaca Italiana"
"Jalapeno Mac and Cheese","Macarrones con Queso y Jalapeños"
"Jamaican Stuffed Fish With Ritz","Pescado Relleno al Estilo Jamaicano con Ritz"
"Japanese Cucumber Salad","Ensalada Japonesa de Pepino"
"Just Peachy Bowls","Tazones Just Peachy"
"Just Peachy Yogurt and Granola Jar","Frasco de Yogur y Granola Just Peachy"
"Kale and Quinoa Salad","Ensalada de Kale y Quinoa"
"Kale Apple Slaw","Ensalada de Kale y Manzana"
"Kid-Friendly Raspberry Smoothie Pops","Paletas de Batido de Frambuesa para Niños"
"Kidney Bean Stew","Guiso de Frijoles Rojos"
"Lasagna Cupcakes","Cupcakes de Lasaña"
"Lemon-Mint Sugar Snap Peas","Guisantes Dulces con Limón y Menta"
"Lemon Raspberry Chia Seed Pudding","Pudín de Semillas de Chía con Limón y Frambuesa"
"Lemon Thyme Greek Frozen Yogurt","Yogur Griego Congelado con Limón y Tomillo"
"Lentils and Greens with Apples","Lentejas y Verduras Verdes con Manzanas"
"Lentil Bruschetta","Bruschetta de Lentejas"
"Lentil Salad","Ensalada de Lentejas"
"Lentil Stew","Guiso de Lentejas"
"Low-Carb Cauliflower Breadsticks","Palitos de Pan de Coliflor Bajos en Carbohidratos"
"Low-Carb Cauliflower Mashed \"Potatoes\"","Puré de \"Patatas\" de Coliflor Bajos en Carbohidratos"
"Low-Carb Rosemary Flax Crackers","Galletas de Lino con Romero Bajos en Carbohidratos"
"Low-Sodium Sugar-Free Pickles","Pepinillos Sin Azúcar y Bajos en Sodio"
"Low Carb Apple Spice Muffins","Muffins de Manzana y Especias Bajos en Carbohidratos"
"Low Fat Pumpkin Panna Cotta","Panna Cotta de Calabaza Baja en Grasas"
"Luscious Avocado-Strawberry Salad With Toasted Pine Nuts","Ensalada Deliciosa de Aguacate y Fresa con Piñones Tostados"
"Mango and Tomato Salsa","Salsa de Mango y Tomate"
"Maple-Pumpkin Spice Oatmeal Cookies","Galletas de Avena con Maple y Especias de Calabaza"
"Maple-Thyme Roasted Brussel Sprouts","Coles de Bruselas Asadas con Maple y Tomillo"
"Maple Apples","Manzanas con Jarabe de Maple"
"Mashed Red Potatoes","Puré de Patatas Rojas"
"Mediterranean Roll-Ups","Roll-Ups Mediterráneos"
"Mediterranean Spelt Flatbread","Pan Plano de Espelta Mediterráneo"
"Mediterranean Zucchini","Calabacín Mediterráneo"
"Mighty Greens Gazpacho","Gazpacho de Verduras Poderosas"
"Milk Chocolate Peanut Butter Banana Smoothie","Batido de Banana, Mantequilla de Cacahuate y Chocolate con Leche"
"Millet Pancakes with Lentil Puree","Panqueques de Mijo con Puré de Lentejas"
"Mini-Artichoke Cakes","Pastelitos de Alcachofa"
"Mini-Pumpkin Tarts","Tartitas Mini de Calabaza"
"Mini Apple Chimichanga","Chimichanga Mini de Manzana"
"Mini Pear and Goat Cheese Tarts","Tartitas Mini de Pera y Queso de Cabra"
"Mini Vegetable Frittata","Mini Frittata de Verduras"
"Mini Veggie Frittatas","Mini Frittatas de Verduras"
"Mixed Greens and Cranberry Salad","Ensalada de Verduras Mixtas y Arándanos"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Mojito Sweeties Mash","Mojito Sweeties Mash"
"Moroccan Avocado Smoothie","Batido de Aguacate Marroquí"
"Moroccan Lentils with Stewed Tomatoes","Lentejas Marroquíes con Tomates Guisados"
"Mushroom Arugula Pizza","Pizza de Champiñones y Rúcula"
"New Ants on a Log","Nuevas Hormigas en un Tronco"
"No-Bake Peanut Butter & Chocolate Bites","Bocaditos de Mantequilla de Cacahuate y Chocolate sin Hornear"
"No Mayo Egg Salad","Ensalada de Huevo sin Mayonesa"
"No Noodle Zucchini Lasagna","Lasaña de Calabacín sin Fideos"
"Nuts about Pizza for Breakfast","Amantes de la Pizza para el Desayuno"
"Oatmeal Congee","Congee de Avena"
"Oat Bran Muffins","Muffins de Salvado de Avena"
"OK Oatmeal with Strawberries and Almonds","Avena OK con Fresas y Almendras"
"Onion, Shallot and Herb Frittata","Frittata de Cebolla, Chalota y Hierbas"
"Onion, Spinach, and Artichoke Dip","Dip de Cebolla, Espinaca y Alcachofa"
"Open-Faced Grilled Pepper-Goat Cheese Sandwiches","Sándwiches Abiertos de Pimiento a la Parrilla y Queso de Cabra"
"Open-Faced Sweet Potato \"Sandwich\"","Sándwich Abierto de Batata"
"Open Face Egg & Spinach Salad Sandwich","Sándwich Abierto de Ensalada de Huevo y Espinaca"
"Orange, Asparagus, and Avocado Salad","Ensalada de Naranja, Espárragos y Aguacate"
"Orange and Apple Bars","Barras de Naranja y Manzana"
"Orange and Walnut Salad","Ensalada de Naranja y Nuez"
"Orzo, Lentil, and Fig Salad","Ensalada de Orzo, Lentejas y Higo"
"Orzo with Lemon, Artichokes, and Asparagus","Orzo con Limón, Alcachofas y Espárragos"
"Pad-Thai Flatbread Pizza","Pizza de Pan Plano Pad-Thai"
"Pan-Grilled Tofu Skewers","Brochetas de Tofu a la Parrilla"
"Pan-Seared Scallops with Vegetable Ribbons","Vieiras Selladas en Sartén con Cintas de Verduras"
"Parmesan Mashed Cauliflower","Puré de Coliflor con Parmesano"
"Parmesan Tofu with Butternut Squash Noodles","Tofu con Parmesano y Tallarines de Calabaza"
"Parsley Lemon Chickpea Salad","Ensalada de Garbanzo con Perejil y Limón"
"Peach and Black Bean Salsa with Chips","Salsa de Durazno y Frijoles Negros con Chips"
"Peanut Butter, Cranberry, and Walnut Apple Slices","Rebanadas de Manzana con Mantequilla de Cacahuate, Arándanos y Nuez"
"Peanut Butter Banana Oat Bites","Bocaditos de Avena con Mantequilla de Cacahuate y Banana"
"Peanut Butter Blondies with Cacao Nibs","Blondies de Mantequilla de Cacahuate con Cacao Nibs"
"Pear, Ricotta and Pine Nut Cake","Pastel de Pera, Ricotta y Piñones"
"Penne with Eggplant-Tomato Sauce","Penne con Salsa de Berenjena y Tomate"
"Peppermint Chocolate \"Nice Cream\"","\"Helado Bonito\" de Chocolate y Menta"
"Pickled Brussels Sprouts","Coles de Bruselas en Escabeche"
"Pineapple and Chile Quesadillas","Quesadillas de Piña y Chile"
"Pineapple Peach Sorbet","Sorbete de Piña y Durazno"
"Pinto Bean, Brown Rice and Spinach Salad","Ensalada de Frijoles Pinto, Arroz Integral y Espinaca"
"Pizza Dough","Masa para Pizza"
"Plant-Based \"Steak\" Fajitas","Fajitas de \"Bistec\" a Base de Plantas"
"Plum Muffins","Muffins de Ciruela"
"Poached Pears with Pomegranate Sauce","Peras Escalfadas con Salsa de Granada"
"Portobello Mushrooms & Onions with Balsamic Glaze","Champiñones Portobello y Cebollas con Glaseado de Balsámico"
"Potato and cauliflower salad","Ensalada de Patata y Coliflor"
"Powerhouse Kale Salad","Ensalada de Kale Poderosa"
"Power Granola","Granola Energética"
"Power Snack Mix","Mix de Snack Energético"
"Pumpkin-Vanilla Pudding","Pudín de Calabaza y Vainilla"
"Pumpkin Apple Protein Bars","Barras de Proteína de Calabaza y Manzana"
"Pumpkin Chowder With Toasted Pepitas","Chowder de Calabaza con Pepitas Tostadas"
"Pumpkin Hummus","Hummus de Calabaza"
"Pumpkin Pie Overnight Oats","Avena Nocturna de Pastel de Calabaza"
"Pumpkin Quiche with Quinoa Crust","Quiche de Calabaza con Corteza de Quinoa"
